Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2009,IRQ,Iraq,JOR,Jordan,NOR,Norway,11
2009,SOM,Somalia,ARE,Egypt,USA,United States of America,124
2009,ERT,Eritrea,LBY,Libya,ITA,Italy,14
2009,IRQ,Iraq,JOR,Jordan,NLD,Netherlands,3
2009,All others,All others,All others,All others,CAN,Canada,2822
2009,SYR,Syrian Arab Rep.,JOR,Jordan,USA,United States of America,15
2009,IRQ,Iraq,JOR,Jordan,SWE,Sweden,319
2009,AFG,Afghanistan,SYR,Syrian Arab Rep.,AUS,Australia,5
2009,ERT,Eritrea,YEM,Yemen,CAN,Canada,2
2009,IRQ,Iraq,ARE,Egypt,USA,United States of America,299
2009,SUD,Sudan,JOR,Jordan,USA,United States of America,4
2009,All others,All others,All others,All others,NOR,Norway,285
2009,IRQ,Iraq,SYR,Syrian Arab Rep.,SWE,Sweden,581
2009,IRQ,Iraq,LEB,Lebanon,AUS,Australia,243
2009,SOM,Somalia,YEM,Yemen,CAN,Canada,75
2009,SUD,Sudan,YEM,Yemen,USA,United States of America,6
2009,IRQ,Iraq,SYR,Syrian Arab Rep.,BEL,Belgium,50
2009,ERT,Eritrea,ISR,Israel,FIN,Finland,1
2009,IRQ,Iraq,SYR,Syrian Arab Rep.,DNK,Denmark,2
2009,SUD,Sudan,LEB,Lebanon,CAN,Canada,6
2009,ERT,Eritrea,ARE,Egypt,NOR,Norway,1
2009,SUD,Sudan,LEB,Lebanon,AUS,Australia,1
2009,SOM,Somalia,LEB,Lebanon,USA,United States of America,6
2009,IRQ,Iraq,ARE,Egypt,AUS,Australia,3
2009,IRQ,Iraq,KUW,Kuwait,SWE,Sweden,1
2009,IRQ,Iraq,YEM,Yemen,NOR,Norway,2
2009,All others,All others,All others,All others,CHE,Switzerland,11
2009,IRQ,Iraq,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,131
2009,SUD,Sudan,ARE,Egypt,CAN,Canada,1
2009,COD,Dem. Rep. of the Congo,MOR,Morocco,FRA,France,4
2009,AFG,Afghanistan,LEB,Lebanon,CAN,Canada,1
2009,IRQ,Iraq,ARE,Egypt,CAN,Canada,49
2009,All others,All others,All others,All others,NZL,New Zealand,357
2009,ERT,Eritrea,ARE,Egypt,CAN,Canada,5
2009,IRQ,Iraq,UAE,United Arab Emirates,CAN,Canada,2
2009,SOM,Somalia,YEM,Yemen,PRT,Portugal,13
2009,IRQ,Iraq,BAH,Bahrain,USA,United States of America,19
2009,IRQ,Iraq,LBY,Libya,USA,United States of America,95
2010,ERT,Eritrea,ARE,Egypt,NOR,Norway,2
2010,SOM,Somalia,LEB,Lebanon,USA,United States of America,7
2010,AFG,Afghanistan,SYR,Syrian Arab Rep.,SWE,Sweden,1
2010,IRQ,Iraq,KUW,Kuwait,SWE,Sweden,3
2010,All others,All others,All others,All others,DEU,Germany,41
2010,IRQ,Iraq,YEM,Yemen,NZL,New Zealand,11
2010,IRQ,Iraq,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,219
2010,SUD,Sudan,ARE,Egypt,CAN,Canada,6
2010,COD,Dem. Rep. of the Congo,MOR,Morocco,FRA,France,1
2010,All others,All others,All others,All others,PRT,Portugal,3
2010,SYR,Syrian Arab Rep.,UAE,United Arab Emirates,USA,United States of America,10
2010,ERT,Eritrea,YEM,Yemen,DNK,Denmark,21
2010,IRQ,Iraq,BAH,Bahrain,USA,United States of America,90
2010,IRQ,Iraq,LBY,Libya,USA,United States of America,219
2010,AFG,Afghanistan,LEB,Lebanon,CAN,Canada,3
2010,IRQ,Iraq,ARE,Egypt,CAN,Canada,46
2010,IRQ,Iraq,YEM,Yemen,FIN,Finland,5
2010,ERT,Eritrea,ARE,Egypt,CAN,Canada,6
2010,IRQ,Iraq,UAE,United Arab Emirates,CAN,Canada,6
2010,All others,All others,All others,All others,DNK,Denmark,247
2010,IRQ,Iraq,SAU,Saudi Arabia,SWE,Sweden,7
2010,SYR,Syrian Arab Rep.,ARE,Egypt,USA,United States of America,1
2010,ERT,Eritrea,YEM,Yemen,USA,United States of America,5
2010,IRQ,Iraq,SYR,Syrian Arab Rep.,DEU,Germany,9
2010,SYR,Syrian Arab Rep.,SYR,Syrian Arab Rep.,NOR,Norway,1
2010,All others,All others,All others,All others,PRY,Paraguay,37
2010,IRQ,Iraq,JOR,Jordan,FIN,Finland,23
2010,IRQ,Iraq,JOR,Jordan,CHE,Switzerland,10
2010,ERT,Eritrea,ARE,Egypt,USA,United States of America,4
2010,IRQ,Iraq,JOR,Jordan,GBR,United Kingdom of Great Britain and Northern Ireland,88
2010,SOM,Somalia,SYR,Syrian Arab Rep.,CAN,Canada,140
2010,ERT,Eritrea,KUW,Kuwait,USA,United States of America,5
2010,All others,All others,All others,All others,FIN,Finland,69
2010,IRQ,Iraq,JOR,Jordan,AUS,Australia,87
2010,IRQ,Iraq,JOR,Jordan,PRT,Portugal,4
2010,SYR,Syrian Arab Rep.,JOR,Jordan,CAN,Canada,4
2010,SOM,Somalia,YEM,Yemen,NOR,Norway,34
2010,SOM,Somalia,LBY,Libya,USA,United States of America,1
2010,SUD,Sudan,ARE,Egypt,USA,United States of America,129
2010,IRQ,Iraq,SYR,Syrian Arab Rep.,PRT,Portugal,20
2010,All others,All others,All others,All others,SWE,Sweden,254
2010,IRQ,Iraq,JOR,Jordan,CAN,Canada,251
2010,SYR,Syrian Arab Rep.,LEB,Lebanon,CAN,Canada,7
2010,IRQ,Iraq,JOR,Jordan,USA,United States of America,5239
2010,IRQ,Iraq,LEB,Lebanon,CAN,Canada,214
2010,SOM,Somalia,YEM,Yemen,SWE,Sweden,45
2010,All others,All others,All others,All others,FRA,France,119
2010,ERT,Eritrea,ARE,Egypt,AUS,Australia,10
2010,IRQ,Iraq,ARE,Egypt,SWE,Sweden,6
2010,IRQ,Iraq,SYR,Syrian Arab Rep.,USA,United States of America,10738
2010,SUD,Sudan,LEB,Lebanon,USA,United States of America,49
2010,IRQ,Iraq,LEB,Lebanon,NLD,Netherlands,149
2010,IRQ,Iraq,SYR,Syrian Arab Rep.,AUS,Australia,242
2010,IRQ,Iraq,LEB,Lebanon,SWE,Sweden,14
2010,SOM,Somalia,ARE,Egypt,SWE,Sweden,5
2010,SUD,Sudan,ISR,Israel,USA,United States of America,4
2010,ERT,Eritrea,LBY,Libya,CHE,Switzerland,1
2010,SOM,Somalia,UAE,United Arab Emirates,USA,United States of America,11
2010,All others,All others,All others,All others,URY,Uruguay,24
2010,AFG,Afghanistan,SYR,Syrian Arab Rep.,NOR,Norway,1
2010,SYR,Syrian Arab Rep.,UAE,United Arab Emirates,FRA,France,3
2010,SOM,Somalia,YEM,Yemen,DNK,Denmark,1
2010,IRQ,Iraq,ARE,Egypt,NOR,Norway,3
2010,SOM,Somalia,ARE,Egypt,CAN,Canada,36
2010,All others,All others,All others,All others,GBR,United Kingdom of Great Britain and Northern Ireland,169
2010,IRQ,Iraq,YEM,Yemen,SWE,Sweden,9
2010,ERT,Eritrea,SYR,Syrian Arab Rep.,CAN,Canada,2
2010,SUD,Sudan,SYR,Syrian Arab Rep.,SWE,Sweden,1
2010,All others,All others,All others,All others,USA,United States of America,20934
2010,IRQ,Iraq,JOR,Jordan,FRA,France,9
2010,SUD,Sudan,SYR,Syrian Arab Rep.,USA,United States of America,12
2010,SYR,Syrian Arab Rep.,LEB,Lebanon,USA,United States of America,9
2010,IRQ,Iraq,UAE,United Arab Emirates,SWE,Sweden,4
2010,SOM,Somalia,SYR,Syrian Arab Rep.,USA,United States of America,195
2010,SOM,Somalia,SYR,Syrian Arab Rep.,NOR,Norway,12
2010,COD,Dem. Rep. of the Congo,MOR,Morocco,NLD,Netherlands,3
2010,SYR,Syrian Arab Rep.,SYR,Syrian Arab Rep.,CAN,Canada,8
2010,SOM,Somalia,JOR,Jordan,USA,United States of America,84
2010,SUD,Sudan,ARE,Egypt,SWE,Sweden,9
2010,ERT,Eritrea,SYR,Syrian Arab Rep.,USA,United States of America,1
2010,All others,All others,All others,All others,ARG,Argentina,36
2010,IRQ,Iraq,YEM,Yemen,IRL,Ireland,4
2010,SUD,Sudan,SYR,Syrian Arab Rep.,NOR,Norway,14
2010,COD,Dem. Rep. of the Congo,MOR,Morocco,SWE,Sweden,2
2010,ERT,Eritrea,ARE,Egypt,SWE,Sweden,8
2010,ERT,Eritrea,LBY,Libya,NLD,Netherlands,30
2010,All others,All others,All others,All others,ISL,Iceland,15
2010,IRQ,Iraq,JOR,Jordan,DNK,Denmark,5
2010,ERT,Eritrea,UAE,United Arab Emirates,USA,United States of America,2
2010,SOM,Somalia,YEM,Yemen,GBR,United Kingdom of Great Britain and Northern Ireland,61
2010,SUD,Sudan,ISR,Israel,NOR,Norway,5
2010,IRQ,Iraq,SYR,Syrian Arab Rep.,CHE,Switzerland,17
2010,SOM,Somalia,SYR,Syrian Arab Rep.,SWE,Sweden,13
2010,SUD,Sudan,ARE,Egypt,AUS,Australia,26
2010,IRQ,Iraq,SYR,Syrian Arab Rep.,FIN,Finland,250
2010,SOM,Somalia,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,3
2010,All others,All others,All others,All others,AUS,Australia,2222
2010,IRQ,Iraq,JOR,Jordan,DEU,Germany,159
2010,SUD,Sudan,LEB,Lebanon,NOR,Norway,1
2010,IRQ,Iraq,KUW,Kuwait,USA,United States of America,99
2010,COD,Dem. Rep. of the Congo,MOR,Morocco,DNK,Denmark,2
2010,All others,All others,All others,All others,ITA,Italy,3
2010,IRQ,Iraq,LEB,Lebanon,CHE,Switzerland,17
2010,AFG,Afghanistan,SYR,Syrian Arab Rep.,CAN,Canada,8
2010,IRQ,Iraq,LEB,Lebanon,GBR,United Kingdom of Great Britain and Northern Ireland,4
2010,SOM,Somalia,JOR,Jordan,SWE,Sweden,1
2010,IRQ,Iraq,SYR,Syrian Arab Rep.,CAN,Canada,1158
2010,IRQ,Iraq,LEB,Lebanon,USA,United States of America,2296
2010,IRQ,Iraq,SYR,Syrian Arab Rep.,NOR,Norway,99
2010,All others,All others,All others,All others,BRA,Brazil,77
2010,SOM,Somalia,YEM,Yemen,USA,United States of America,590
2010,IRQ,Iraq,SYR,Syrian Arab Rep.,IRL,Ireland,17
2010,ERT,Eritrea,LBY,Libya,USA,United States of America,8
2010,IRQ,Iraq,SYR,Syrian Arab Rep.,NZL,New Zealand,14
2010,All others,All others,All others,All others,KOR,Rep. of Korea,14
2010,IRQ,Iraq,JOR,Jordan,IRL,Ireland,6
2010,COD,Dem. Rep. of the Congo,SYR,Syrian Arab Rep.,SWE,Sweden,1
2010,SUD,Sudan,ISR,Israel,CAN,Canada,5
2010,ERT,Eritrea,YEM,Yemen,NLD,Netherlands,41
2010,IRQ,Iraq,UAE,United Arab Emirates,AUS,Australia,3
2010,SYR,Syrian Arab Rep.,SYR,Syrian Arab Rep.,USA,United States of America,35
2010,IRQ,Iraq,SYR,Syrian Arab Rep.,NLD,Netherlands,3
2010,IRQ,Iraq,KUW,Kuwait,NOR,Norway,1
2010,All others,All others,All others,All others,CAN,Canada,3231
2010,SYR,Syrian Arab Rep.,SYR,Syrian Arab Rep.,IRL,Ireland,1
2010,SOM,Somalia,KUW,Kuwait,USA,United States of America,17
2010,ERT,Eritrea,ISR,Israel,USA,United States of America,5
2010,All others,All others,All others,All others,NLD,Netherlands,193
2010,IRQ,Iraq,QAT,Qatar,USA,United States of America,3
2010,COD,Dem. Rep. of the Congo,MOR,Morocco,NOR,Norway,2
2010,SYR,Syrian Arab Rep.,IRQ,Iraq,SWE,Sweden,14
2010,SOM,Somalia,JOR,Jordan,CAN,Canada,16
2010,SYR,Syrian Arab Rep.,LEB,Lebanon,SWE,Sweden,3
2010,ERT,Eritrea,YEM,Yemen,SWE,Sweden,6
2010,IRQ,Iraq,JOR,Jordan,NZL,New Zealand,2
2010,ERT,Eritrea,JOR,Jordan,USA,United States of America,1
2010,All others,All others,All others,All others,CHL,Chile,115
2010,SOM,Somalia,ARE,Egypt,FIN,Finland,1
2010,IRQ,Iraq,UAE,United Arab Emirates,USA,United States of America,88
2010,SUD,Sudan,SYR,Syrian Arab Rep.,CAN,Canada,13
2010,AFG,Afghanistan,SYR,Syrian Arab Rep.,USA,United States of America,2
2010,All others,All others,All others,All others,NOR,Norway,392
2010,IRQ,Iraq,YEM,Yemen,USA,United States of America,26
2010,ERT,Eritrea,SYR,Syrian Arab Rep.,SWE,Sweden,3
2010,IRQ,Iraq,YEM,Yemen,CAN,Canada,9
2010,IRQ,Iraq,LEB,Lebanon,NOR,Norway,6
2010,ERT,Eritrea,LBY,Libya,NOR,Norway,2
2010,IRQ,Iraq,JOR,Jordan,NOR,Norway,11
2010,SOM,Somalia,ARE,Egypt,USA,United States of America,139
2010,All others,All others,All others,All others,CZE,Czechia,8
2010,SYR,Syrian Arab Rep.,KUW,Kuwait,USA,United States of America,4
2010,SUD,Sudan,JOR,Jordan,USA,United States of America,150
2010,IRQ,Iraq,JOR,Jordan,NLD,Netherlands,3
2010,AFG,Afghanistan,JOR,Jordan,USA,United States of America,6
2010,SYR,Syrian Arab Rep.,JOR,Jordan,USA,United States of America,10
2010,IRQ,Iraq,JOR,Jordan,SWE,Sweden,12
2010,All others,All others,All others,All others,NZL,New Zealand,494
2010,ERT,Eritrea,YEM,Yemen,CAN,Canada,2
2010,IRQ,Iraq,ARE,Egypt,USA,United States of America,226
2010,SUD,Sudan,LEB,Lebanon,CAN,Canada,5
2010,IRQ,Iraq,SYR,Syrian Arab Rep.,SWE,Sweden,132
2010,IRQ,Iraq,LEB,Lebanon,AUS,Australia,220
2010,SOM,Somalia,YEM,Yemen,CAN,Canada,59
2010,SUD,Sudan,YEM,Yemen,USA,United States of America,9
2010,ERT,Eritrea,ISR,Israel,NOR,Norway,1
2011,SUD,Sudan,ARE,Egypt,DNK,Denmark,5
2011,SOM,Somalia,YEM,Yemen,FRA,France,24
2011,All others,All others,All others,All others,PRY,Paraguay,26
2011,SOM,Somalia,ARE,Egypt,USA,United States of America,431
2011,SYR,Syrian Arab Rep.,LEB,Lebanon,NLD,Netherlands,1
2011,SUD,Sudan,TUN,Tunisia,SWE,Sweden,24
2011,SUD,Sudan,JOR,Jordan,USA,United States of America,23
2011,IRQ,Iraq,JOR,Jordan,NLD,Netherlands,1
2011,SYR,Syrian Arab Rep.,JOR,Jordan,USA,United States of America,6
2011,IRQ,Iraq,JOR,Jordan,SWE,Sweden,5
2011,MYA,Myanmar,UAE,United Arab Emirates,SWE,Sweden,1
2011,IRQ,Iraq,ARE,Egypt,USA,United States of America,309
2011,SUD,Sudan,LEB,Lebanon,CAN,Canada,3
2011,SOM,Somalia,TUN,Tunisia,FRA,France,1
2011,COD,Dem. Rep. of the Congo,TUN,Tunisia,SWE,Sweden,2
2011,IRQ,Iraq,SYR,Syrian Arab Rep.,SWE,Sweden,23
2011,IRQ,Iraq,LEB,Lebanon,AUS,Australia,212
2011,SOM,Somalia,YEM,Yemen,CAN,Canada,9
2011,All others,All others,All others,All others,CZE,Czechia,4
2011,ERT,Eritrea,ISR,Israel,NOR,Norway,4
2011,All others,All others,All others,All others,SWE,Sweden,365
2011,SOM,Somalia,LEB,Lebanon,USA,United States of America,4
2011,SOM,Somalia,TUN,Tunisia,USA,United States of America,581
2011,ERT,Eritrea,YEM,Yemen,DNK,Denmark,34
2011,IRQ,Iraq,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,15
2011,ERT,Eritrea,TUN,Tunisia,GBR,United Kingdom of Great Britain and Northern Ireland,2
2011,SUD,Sudan,ARE,Egypt,CAN,Canada,4
2011,COD,Dem. Rep. of the Congo,MOR,Morocco,FRA,France,2
2011,SYR,Syrian Arab Rep.,UAE,United Arab Emirates,USA,United States of America,8
2011,IRQ,Iraq,BAH,Bahrain,USA,United States of America,51
2011,IRQ,Iraq,ARE,Egypt,CAN,Canada,63
2011,SUD,Sudan,TUN,Tunisia,IRL,Ireland,26
2011,All others,All others,All others,All others,DEU,Germany,17
2011,ERT,Eritrea,ARE,Egypt,CAN,Canada,32
2011,SUD,Sudan,TUN,Tunisia,FIN,Finland,4
2011,IRQ,Iraq,UAE,United Arab Emirates,CAN,Canada,1
2011,COD,Dem. Rep. of the Congo,ALG,Algeria,USA,United States of America,30
2011,All others,All others,All others,All others,URY,Uruguay,49
2011,ERT,Eritrea,TUN,Tunisia,DNK,Denmark,15
2011,ERT,Eritrea,YEM,Yemen,USA,United States of America,3
2011,SOM,Somalia,ALG,Algeria,USA,United States of America,3
2011,IRQ,Iraq,JOR,Jordan,FIN,Finland,5
2011,SOM,Somalia,TUN,Tunisia,GBR,United Kingdom of Great Britain and Northern Ireland,2
2011,COD,Dem. Rep. of the Congo,ALG,Algeria,FRA,France,3
2011,ERT,Eritrea,ARE,Egypt,USA,United States of America,171
2011,All others,All others,All others,All others,DNK,Denmark,235
2011,IRQ,Iraq,JOR,Jordan,GBR,United Kingdom of Great Britain and Northern Ireland,27
2011,ERT,Eritrea,ISR,Israel,FRA,France,3
2011,SUD,Sudan,LEB,Lebanon,DNK,Denmark,1
2011,AFG,Afghanistan,MOR,Morocco,USA,United States of America,9
2011,SOM,Somalia,SYR,Syrian Arab Rep.,CAN,Canada,36
2011,All others,All others,All others,All others,USA,United States of America,14641
2011,IRQ,Iraq,JOR,Jordan,AUS,Australia,155
2011,SYR,Syrian Arab Rep.,JOR,Jordan,CAN,Canada,1
2011,IRQ,Iraq,TUN,Tunisia,USA,United States of America,217
2011,SOM,Somalia,YEM,Yemen,NOR,Norway,15
2011,SUD,Sudan,ARE,Egypt,USA,United States of America,1166
2011,ERT,Eritrea,TUN,Tunisia,NLD,Netherlands,37
2011,SOM,Somalia,YEM,Yemen,SWE,Sweden,43
2011,IRQ,Iraq,LEB,Lebanon,NZL,New Zealand,94
2011,IRQ,Iraq,JOR,Jordan,CAN,Canada,28
2011,SOM,Somalia,TUN,Tunisia,NLD,Netherlands,3
2011,SYR,Syrian Arab Rep.,LEB,Lebanon,CAN,Canada,5
2011,IRQ,Iraq,JOR,Jordan,USA,United States of America,3105
2011,All others,All others,All others,All others,FIN,Finland,66
2011,IRQ,Iraq,LEB,Lebanon,CAN,Canada,180
2011,ERT,Eritrea,TUN,Tunisia,ESP,Spain,10
2011,ERT,Eritrea,ARE,Egypt,AUS,Australia,78
2011,IRQ,Iraq,ARE,Egypt,SWE,Sweden,2
2011,IRQ,Iraq,SYR,Syrian Arab Rep.,USA,United States of America,5613
2011,SUD,Sudan,LEB,Lebanon,USA,United States of America,65
2011,IRQ,Iraq,LEB,Lebanon,NLD,Netherlands,106
2011,COD,Dem. Rep. of the Congo,ARE,Egypt,CAN,Canada,2
2011,IRQ,Iraq,SYR,Syrian Arab Rep.,AUS,Australia,491
2011,ERT,Eritrea,ISR,Israel,DNK,Denmark,1
2011,IRQ,Iraq,LEB,Lebanon,SWE,Sweden,2
2011,SOM,Somalia,ARE,Egypt,SWE,Sweden,29
2011,IRQ,Iraq,ALG,Algeria,USA,United States of America,4
2011,COD,Dem. Rep. of the Congo,MAU,Mauritania,SWE,Sweden,1
2011,SUD,Sudan,TUN,Tunisia,NOR,Norway,87
2011,ERT,Eritrea,TUN,Tunisia,USA,United States of America,379
2011,All others,All others,All others,All others,FRA,France,144
2011,SYR,Syrian Arab Rep.,IRQ,Iraq,DNK,Denmark,1
2011,SOM,Somalia,ARE,Egypt,CAN,Canada,60
2011,SUD,Sudan,TUN,Tunisia,USA,United States of America,421
2011,SYR,Syrian Arab Rep.,LEB,Lebanon,CHE,Switzerland,36
2011,IRQ,Iraq,SAU,Saudi Arabia,USA,United States of America,38
2011,COD,Dem. Rep. of the Congo,MOR,Morocco,NLD,Netherlands,5
2011,All others,All others,All others,All others,ARG,Argentina,47
2011,SUD,Sudan,SYR,Syrian Arab Rep.,USA,United States of America,2
2011,SYR,Syrian Arab Rep.,LEB,Lebanon,USA,United States of America,19
2011,IRQ,Iraq,UAE,United Arab Emirates,SWE,Sweden,3
2011,SOM,Somalia,SYR,Syrian Arab Rep.,USA,United States of America,56
2011,AFG,Afghanistan,UAE,United Arab Emirates,USA,United States of America,1
2011,SYR,Syrian Arab Rep.,SYR,Syrian Arab Rep.,CAN,Canada,2
2011,SOM,Somalia,JOR,Jordan,USA,United States of America,57
2011,SUD,Sudan,ARE,Egypt,SWE,Sweden,26
2011,ERT,Eritrea,TUN,Tunisia,AUS,Australia,90
2011,SOM,Somalia,TUN,Tunisia,NOR,Norway,191
2011,COD,Dem. Rep. of the Congo,ALG,Algeria,NOR,Norway,3
2011,COD,Dem. Rep. of the Congo,MOR,Morocco,SWE,Sweden,4
2011,All others,All others,All others,All others,GBR,United Kingdom of Great Britain and Northern Ireland,490
2011,ERT,Eritrea,TUN,Tunisia,FIN,Finland,10
2011,ERT,Eritrea,ARE,Egypt,SWE,Sweden,11
2011,ERT,Eritrea,ISR,Israel,CAN,Canada,2
2011,SUD,Sudan,ISR,Israel,NOR,Norway,1
2011,IRQ,Iraq,SYR,Syrian Arab Rep.,CHE,Switzerland,38
2011,SUD,Sudan,ARE,Egypt,NOR,Norway,13
2011,All others,All others,All others,All others,AUS,Australia,1371
2011,SUD,Sudan,ARE,Egypt,AUS,Australia,51
2011,SUD,Sudan,TUN,Tunisia,AUS,Australia,10
2011,SOM,Somalia,TUN,Tunisia,AUS,Australia,14
2011,All others,All others,All others,All others,KOR,Rep. of Korea,18
2011,SOM,Somalia,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,4
2011,SOM,Somalia,LEB,Lebanon,CAN,Canada,1
2011,SYR,Syrian Arab Rep.,TUN,Tunisia,SWE,Sweden,4
2011,IRQ,Iraq,KUW,Kuwait,USA,United States of America,8
2011,COD,Dem. Rep. of the Congo,MOR,Morocco,DNK,Denmark,8
2011,ERT,Eritrea,ARE,Egypt,FIN,Finland,6
2011,SOM,Somalia,YEM,Yemen,NLD,Netherlands,3
2011,SUD,Sudan,ISR,Israel,SWE,Sweden,1
2011,ERT,Eritrea,TUN,Tunisia,NOR,Norway,210
2011,AFG,Afghanistan,SYR,Syrian Arab Rep.,CAN,Canada,22
2011,All others,All others,All others,All others,BEL,Belgium,3
2011,SYR,Syrian Arab Rep.,SYR,Syrian Arab Rep.,AUS,Australia,1
2011,COD,Dem. Rep. of the Congo,LEB,Lebanon,USA,United States of America,1
2011,All others,All others,All others,All others,NLD,Netherlands,332
2011,IRQ,Iraq,SYR,Syrian Arab Rep.,CAN,Canada,2443
2011,IRQ,Iraq,LEB,Lebanon,USA,United States of America,2541
2011,IRQ,Iraq,LEB,Lebanon,FRA,France,3
2011,IRQ,Iraq,SYR,Syrian Arab Rep.,NOR,Norway,6
2011,ERT,Eritrea,TUN,Tunisia,BEL,Belgium,14
2011,SOM,Somalia,TUN,Tunisia,SWE,Sweden,71
2011,SUD,Sudan,TUN,Tunisia,PRT,Portugal,3
2011,SOM,Somalia,YEM,Yemen,USA,United States of America,104
2011,SYR,Syrian Arab Rep.,TUN,Tunisia,USA,United States of America,6
2011,COD,Dem. Rep. of the Congo,MOR,Morocco,USA,United States of America,6
2011,IRQ,Iraq,SYR,Syrian Arab Rep.,NZL,New Zealand,79
2011,IRQ,Iraq,OMN,Oman,USA,United States of America,11
2011,SUD,Sudan,ARE,Egypt,FIN,Finland,14
2011,IRQ,Iraq,TUN,Tunisia,AUS,Australia,1
2011,IRQ,Iraq,JOR,Jordan,IRL,Ireland,6
2011,COD,Dem. Rep. of the Congo,TUN,Tunisia,BEL,Belgium,3
2011,All others,All others,All others,All others,BRA,Brazil,45
2011,IRQ,Iraq,UAE,United Arab Emirates,AUS,Australia,3
2011,SYR,Syrian Arab Rep.,SYR,Syrian Arab Rep.,USA,United States of America,11
2011,All others,All others,All others,All others,NOR,Norway,523
2011,ERT,Eritrea,ISR,Israel,SWE,Sweden,8
2011,ERT,Eritrea,TUN,Tunisia,CAN,Canada,1
2011,ERT,Eritrea,SAU,Saudi Arabia,USA,United States of America,1
2011,SOM,Somalia,KUW,Kuwait,USA,United States of America,1
2011,AFG,Afghanistan,JOR,Jordan,NZL,New Zealand,4
2011,ERT,Eritrea,ISR,Israel,USA,United States of America,7
2011,SOM,Somalia,TUN,Tunisia,DNK,Denmark,9
2011,ERT,Eritrea,TUN,Tunisia,PRT,Portugal,25
2011,All others,All others,All others,All others,CAN,Canada,2388
2011,SYR,Syrian Arab Rep.,IRQ,Iraq,SWE,Sweden,3
2011,SOM,Somalia,JOR,Jordan,CAN,Canada,13
2011,All others,All others,All others,All others,NZL,New Zealand,285
2011,SYR,Syrian Arab Rep.,LEB,Lebanon,SWE,Sweden,7
2011,ERT,Eritrea,YEM,Yemen,SWE,Sweden,63
2011,IRQ,Iraq,JOR,Jordan,NZL,New Zealand,41
2011,SOM,Somalia,ARE,Egypt,FIN,Finland,3
2011,COD,Dem. Rep. of the Congo,ALG,Algeria,SWE,Sweden,3
2011,IRQ,Iraq,UAE,United Arab Emirates,USA,United States of America,182
2011,SUD,Sudan,SYR,Syrian Arab Rep.,CAN,Canada,2
2011,AFG,Afghanistan,SYR,Syrian Arab Rep.,USA,United States of America,34
2011,AFG,Afghanistan,SYR,Syrian Arab Rep.,AUS,Australia,1
2011,IRQ,Iraq,YEM,Yemen,USA,United States of America,4
2011,IRQ,Iraq,JOR,Jordan,NOR,Norway,5
2011,COD,Dem. Rep. of the Congo,TUN,Tunisia,NOR,Norway,5
2011,SUD,Sudan,LEB,Lebanon,NLD,Netherlands,3
2011,ERT,Eritrea,TUN,Tunisia,SWE,Sweden,54
2011,All others,All others,All others,All others,CHE,Switzerland,19
2011,SUD,Sudan,TUN,Tunisia,ESP,Spain,40
2012,SUD,Sudan,JOR,Jordan,SWE,Sweden,15
2012,SYR,Syrian Arab Rep.,LEB,Lebanon,SWE,Sweden,4
2012,ERT,Eritrea,YEM,Yemen,SWE,Sweden,25
2012,ERT,Eritrea,TUN,Tunisia,CHE,Switzerland,1
2012,ERT,Eritrea,KUW,Kuwait,CAN,Canada,5
2012,All others,All others,All others,All others,FIN,Finland,158
2012,IRQ,Iraq,UAE,United Arab Emirates,USA,United States of America,162
2012,AFG,Afghanistan,SYR,Syrian Arab Rep.,USA,United States of America,1
2012,SUD,Sudan,LEB,Lebanon,NLD,Netherlands,3
2012,SUD,Sudan,SYR,Syrian Arab Rep.,NLD,Netherlands,4
2012,ERT,Eritrea,TUN,Tunisia,SWE,Sweden,6
2012,COD,Dem. Rep. of the Congo,MOR,Morocco,PRT,Portugal,1
2012,SUD,Sudan,TUN,Tunisia,ESP,Spain,2
2012,All others,All others,All others,All others,SWE,Sweden,375
2012,SUD,Sudan,TUN,Tunisia,SWE,Sweden,15
2012,SOM,Somalia,ARE,Egypt,USA,United States of America,385
2012,AFG,Afghanistan,SYR,Syrian Arab Rep.,SWE,Sweden,23
2012,ERT,Eritrea,TUN,Tunisia,DEU,Germany,55
2012,IRQ,Iraq,ARE,Egypt,USA,United States of America,246
2012,All others,All others,All others,All others,FRA,France,29
2012,SUD,Sudan,JOR,Jordan,USA,United States of America,102
2012,SOM,Somalia,SYR,Syrian Arab Rep.,DNK,Denmark,7
2012,SYR,Syrian Arab Rep.,JOR,Jordan,USA,United States of America,1
2012,IRQ,Iraq,LEB,Lebanon,FIN,Finland,1
2012,SUD,Sudan,LEB,Lebanon,CAN,Canada,10
2012,AFG,Afghanistan,SYR,Syrian Arab Rep.,NLD,Netherlands,12
2012,SOM,Somalia,LEB,Lebanon,AUS,Australia,4
2012,AFG,Afghanistan,LEB,Lebanon,CAN,Canada,1
